round,p1_gesture,p2_gesture,p1_hp,p2_hp,result,timestamp
0,Unknown,Unknown,3,3,Round skipped — gesture not recognised.,1773509620.668
1,Attack,Attack,2,2,Both Attack! Both lose 1 HP.,1773509627.686
2,Heal,Defend,3,2,P2 Defends. P1 Heals. P1 +1 HP.,1773509634.743
3,Attack,Attack,2,1,Both Attack! Both lose 1 HP.,1773509641.816
3,Unknown,Unknown,2,1,Round skipped — gesture not recognised.,1773509648.836
3,Unknown,Unknown,2,1,Round skipped — gesture not recognised.,1773509655.953
3,Unknown,Heal,2,1,Round skipped — gesture not recognised.,1773509663.048
4,Heal,Attack,1,1,P2 Attacks P1 mid-heal! P1 -1 HP.,1773509670.147
4,Unknown,Unknown,1,1,Round skipped — gesture not recognised.,1773509677.223
5,Heal,Attack,0,1,P2 Attacks P1 mid-heal! P1 -1 HP.,1773509684.261
